,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
295,Luuk de Jong,FW,nl Netherlands,31,1.nl PSV Eindhoven,1990,1,0,57,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches,abb3bb95
296,Luka Jovi?,FW,rs Serbia,24,1.it Fiorentina,1997,1,0,36,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,1,0,3,0.00,0.00,0.00,0.00,0.00,0.13,0.40,0.53,0.13,0.53,Matches,4d8cd038
297,Son Jun-ho,MFDF,kr Korea Republic,30,1.cn Shandong Lunen,1992,3,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f7c7ba0d
298,Vinicius J?nior,FW,br Brazil,21,1.es Real Madrid,2000,4,4,299,3.3,1,2,3,1,0,0,0,0,1.0,1.0,0.7,1.7,18,4,42,0.30,0.60,0.90,0.30,0.90,0.30,0.20,0.50,0.30,0.50,Matches,7111d552
299,Josip Juranovi?,DF,hr Croatia,26,1.sct Celtic,1995,6,6,600,6.7,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,15,34,38,0.00,0.15,0.15,0.00,0.15,0.01,0.05,0.06,0.01,0.06,Matches,0a084b35
300,Daichi Kamada,FWMF,jp Japan,25,1.de Eint Frankfurt,1996,4,4,322,3.6,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.7,5,13,15,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.19,0.18,0.19,Matches,15b287da
301,Jakub Kami?ski,MF,pl Poland,20,1.de Wolfsburg,2002,4,2,233,2.6,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0.5,3,0,13,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.10,0.19,Matches,202b3b68
302,Hossein Kanaanizadegan,DF,ir IR Iran,28,1.qa Al Ahli SC,1994,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,24353c25
303,Harry Kane,FW,eng England,28,1.eng Tottenham,1993,5,5,402,4.5,2,3,5,1,1,2,0,0,2.7,1.1,1.5,2.6,7,18,24,0.45,0.67,1.12,0.22,0.90,0.60,0.34,0.94,0.25,0.59,Matches,21a66f6a
304,Lee Kangin,MFFW,kr Korea Republic,21,1.es Mallorca,2001,4,1,147,1.6,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.4,4,11,5,0.00,0.61,0.61,0.00,0.61,0.09,0.17,0.27,0.09,0.27,Matches,8455ad90
305,Mohamed Kanno,MFFW,sa Saudi Arabia,27,1.sa Al-Hilal,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,6,17,8,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,74ccf212
306,Fran Kara?i?,DF,au Australia,26,2.it Brescia,1996,2,1,93,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,7,3,0.00,0.00,0.00,0.00,0.00,0.17,0.09,0.27,0.17,0.27,Matches,e2f8c69c
307,Ali Karimi,MF,ir IR Iran,28,1.tr Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3840bfb9
308,Mark-Anthony Kaye,MF,ca Canada,27,1.us Toronto FC,1994,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,36a38acd
309,Wajdi Kechrida,DF,tn Tunisia,26,1.gr Atromitos,1995,3,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,5,11,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,11962fe7
310,Thilo Kehrer,DF,de Germany,25,1.eng West Ham,1996,1,1,69,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,51dbeea9
311,Bilal El Khannous,MF,ma Morocco,18,1.be Genk,2004,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f7042636
312,Wahbi Khazri,FWMF,tn Tunisia,31,1.fr Montpellier,1991,2,1,83,0.9,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,0,2,8,1.08,0.00,1.08,1.08,1.08,0.47,0.00,0.47,0.47,0.47,Matches,2677a1de
313,Musab Kheder,DF,qa Qatar,28,1.qa Al Sadd SC,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d9261523
314,Boualem Khoukhi,DF,qa Qatar,31,1.qa Al Sadd SC,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7be5ad52
315,Joshua Kimmich,MFDF,de Germany,27,1.de Bayern Munich,1995,3,3,270,3.0,0,0,0,0,0,0,1,0,0.4,0.4,1.1,1.5,4,28,16,0.00,0.00,0.00,0.00,0.00,0.12,0.37,0.49,0.12,0.49,Matches,49296448
316,Jakub Kiwior,DF,pl Poland,22,1.it Spezia,2000,4,4,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,dc3e663e
317,Simon Kj?r,DF,dk Denmark,33,1.it Milan,1989,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8b8a56ce
318,Davy Klaassen,MFFW,nl Netherlands,29,1.nl Ajax,1993,4,3,190,2.1,1,2,3,1,0,0,0,0,0.2,0.2,0.3,0.5,0,6,9,0.47,0.95,1.42,0.47,1.42,0.11,0.14,0.25,0.11,0.25,Matches,15fd5593
319,Lukas Klostermann,DF,de Germany,26,1.de RB Leipzig,1996,2,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ca8033cb
320,Gregor Kobel,GK,ch Switzerland,24,1.de Dortmund,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cd59b9df
321,Koke,MF,es Spain,30,1.es Atl?tico Madrid,1992,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,55126f3b
322,Randal Kolo Muani,FW,fr France,23,1.de Eint Frankfurt,1998,3,1,182,2.0,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.1,2,1,10,0.49,0.00,0.49,0.49,0.49,0.66,0.00,0.66,0.66,0.66,Matches,c0b3669f
323,Ibrahima Konat?,DF,fr France,23,1.eng Liverpool,1999,5,3,294,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.7,1,18,1,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,Matches,5ed9b537
324,Isma?l Kon?,MFDF,ca Canada,20,1.us CF Montr?al,2002,3,0,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,e0220b70
325,Teun Koopmeiners,MF,nl Netherlands,24,1.it Atalanta,1998,5,1,219,2.4,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,7,7,0.00,0.41,0.41,0.00,0.41,0.04,0.09,0.13,0.04,0.13,Matches,a26fb8aa
326,Filip Kosti?,DF,rs Serbia,29,1.it Juventus,1992,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,5,21,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,b1cd37e6
327,Kalidou Koulibaly,DF,sn Senegal,30,1.eng Chelsea,1991,4,4,360,4.0,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,0,11,0,0.25,0.00,0.25,0.25,0.25,0.12,0.01,0.13,0.12,0.13,Matches,da974c7b
328,Jules Kound?,DF,fr France,23,1.es Barcelona,1998,6,5,480,5.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,7,20,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,4d1666ff
329,Cheikhou Kouyat?,MF,sn Senegal,32,1.eng Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,8d3c902d
330,Mateo Kova?i?,MF,hr Croatia,28,1.eng Chelsea,1994,7,7,635,7.1,0,0,0,0,0,0,2,0,0.3,0.3,1.0,1.3,24,52,23,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.18,0.05,0.18,Matches,79c0821a
331,Andrej Kramari?,FWMF,hr Croatia,30,1.de Hoffenheim,1991,7,7,474,5.3,2,0,2,2,0,0,0,0,1.6,1.6,0.2,1.9,10,7,44,0.38,0.00,0.38,0.38,0.38,0.31,0.04,0.36,0.31,0.36,Matches,603cb947
332,Grzegorz Krychowiak,MF,pl Poland,32,1.sa Al-Shabab,1990,4,4,332,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,10,2,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05,Matches,580d52dd
333,Takefusa Kubo,FW,jp Japan,21,1.es Real Sociedad,2001,2,2,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,16aa3654
334,Pierre Kunde,MF,cm Cameroon,26,1.gr Olympiacos,1995,2,2,131,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,4,1,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.20,0.15,0.20,Matches,9ceb7642
335,Garang Kuol,FWMF,au Australia,17,1.au Central Coast,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,0,4,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.92,0.92,0.92,Matches,a8a80be7
336,Daniel Kyereh,MFDF,gh Ghana,26,1.de Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2770726a
337,Kwon Kyung-won,DF,kr Korea Republic,30,1.jp Gamba Osaka,1992,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,ad1516af
338,A?ssa La?douni,MF,tn Tunisia,25,1.hu Ferencv?ros,1996,3,3,243,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.6,8,18,9,0.00,0.37,0.37,0.00,0.37,0.05,0.16,0.21,0.05,0.21,Matches,22798128
339,Tariq Lamptey,DF,gh Ghana,21,1.eng Brighton,2000,2,1,102,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,f4e433d4
340,Noa Lang,MF,nl Netherlands,22,1.be Club Brugge,1999,1,0,8,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,8e034340
341,Aymeric Laporte,DF,es Spain,28,1.eng Manchester City,1994,3,3,300,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,7,19,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,119b9a8e
342,Cyle Larin,FW,ca Canada,27,1.be Club Brugge,1995,3,2,137,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,3,5,6,0.00,0.00,0.00,0.00,0.00,0.16,0.34,0.49,0.16,0.49,Matches,e7af9060
343,Richie Laryea,DFMF,ca Canada,27,1.us Toronto FC,1995,3,2,160,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,8,1,12,0.00,0.00,0.00,0.00,0.00,0.04,0.30,0.34,0.04,0.34,Matches,276fdbe4
344,Darko Lazovi?,DF,rs Serbia,31,1.it Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,5128bde4
345,Rafael Le?o,FW,pt Portugal,23,1.it Milan,1999,5,0,88,1.0,2,0,2,2,0,0,0,0,0.4,0.4,0.2,0.6,16,3,19,2.05,0.00,2.05,2.05,2.05,0.42,0.16,0.57,0.42,0.57,Matches,20730eae
346,Mathew Leckie,MFFW,au Australia,31,1.au Melb City,1991,4,4,333,3.7,1,1,2,1,0,0,0,0,0.1,0.1,0.3,0.5,4,13,22,0.27,0.27,0.54,0.27,0.54,0.04,0.08,0.12,0.04,0.12,Matches,b93b7882
347,Robert Lewandowski,FW,pl Poland,33,1.es Barcelona,1988,4,4,360,4.0,2,1,3,1,1,2,0,0,2.9,1.4,0.4,1.8,5,10,17,0.50,0.25,0.75,0.25,0.50,0.73,0.10,0.83,0.34,0.44,Matches,8d78e732
348,Matthijs de Ligt,DF,nl Netherlands,22,1.de Bayern Munich,1999,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d6e53a3a
349,Jesper Lindstr?m,MFFW,dk Denmark,22,1.de Eint Frankfurt,2000,3,2,200,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,7,4,15,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,37dc1a48
350,Marko Livaja,FW,hr Croatia,28,1.hr Hajduk Split,1993,6,3,241,2.7,1,1,2,1,0,0,0,0,0.8,0.8,0.1,0.9,1,8,21,0.37,0.37,0.75,0.37,0.75,0.31,0.03,0.34,0.31,0.34,Matches,6e5497ca
351,Dominik Livakovi?,GK,hr Croatia,27,1.hr Dinamo Zagreb,1995,7,7,690,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,58f077c0
352,Marcos Llorente,DF,es Spain,27,1.es Atl?tico Madrid,1995,1,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,11,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,02c15616
353,Hugo Lloris,GK,fr France,35,1.eng Tottenham,1986,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f62b6ee
354,Dejan Lovren,DF,hr Croatia,32,1.ru Zenit,1989,6,6,600,6.7,0,1,1,0,0,0,1,0,0.3,0.3,0.0,0.3,3,23,1,0.00,0.15,0.15,0.00,0.15,0.04,0.01,0.05,0.04,0.05,Matches,1a2935f6
355,Hirving Lozano,FW,mx Mexico,26,1.it Napoli,1995,3,3,252,2.8,0,0,0,0,0,0,0,0,0.2,0.2,1.0,1.2,12,9,33,0.00,0.00,0.00,0.00,0.00,0.07,0.36,0.42,0.07,0.42,Matches,a69e4806
356,Romelu Lukaku,FW,be Belgium,29,1.it Inter,1993,2,0,55,0.6,0,0,0,0,0,0,0,0,1.7,1.7,0.0,1.8,1,0,5,0.00,0.00,0.00,0.00,0.00,2.84,0.06,2.90,2.84,2.90,Matches,5eae500a
357,Sa?a Luki?,MF,rs Serbia,25,1.it Torino,1996,3,3,245,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,9,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,c6e8cf1f
358,Ali Ma?loul,DF,tn Tunisia,32,1.eg Al Ahly SC,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c69ff23a
359,Awer Mabil,MF,au Australia,26,1.es C?diz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,922da988
360,Alexis Mac Allister,MF,ar Argentina,23,1.eng Brighton,1998,6,6,550,6.1,1,1,2,1,0,0,0,0,0.7,0.7,0.9,1.6,19,24,27,0.16,0.16,0.33,0.16,0.33,0.12,0.15,0.27,0.12,0.27,Matches,83d074ff
361,Jamie Maclaren,FW,au Australia,28,1.au Melb City,1993,3,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,2a8ba67e
362,Assim Madibo,MF,qa Qatar,25,1.qa Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,2b1d2ada
363,Abdullah Madu,DFMF,sa Saudi Arabia,28,1.sa Al-Nassr,1993,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9c3523a4
364,Daizen Maeda,FW,jp Japan,24,1.sct Celtic,1997,3,3,180,2.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,2,1,5,0.50,0.00,0.50,0.50,0.50,0.24,0.00,0.24,0.24,0.24,Matches,395451fc
365,Harry Maguire,DF,eng England,29,1.eng Manchester Utd,1993,5,5,429,4.8,0,1,1,0,0,0,1,0,0.4,0.4,0.0,0.4,10,26,1,0.00,0.21,0.21,0.00,0.21,0.08,0.01,0.09,0.08,0.09,Matches,d8931174
366,Lovro Majer,MFFW,hr Croatia,24,1.fr Rennes,1998,7,1,130,1.4,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,5,5,16,0.69,0.00,0.69,0.69,0.69,0.67,0.07,0.74,0.67,0.74,Matches,fc46aab1
367,Nemanja Maksimovi?,MF,rs Serbia,27,1.es Getafe,1995,3,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,00b28772
368,Abdulellah Al-Malki,MF,sa Saudi Arabia,27,1.sa Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,7,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,3bcd2730
369,Steve Mandanda,GK,fr France,37,1.fr Rennes,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1d2d5cc8
370,Jos? Mar?a Gim?nez,DF,uy Uruguay,27,1.es Atl?tico Madrid,1995,3,3,270,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,12,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,f0da930c
371,Jo?o M?rio,FWMF,pt Portugal,29,1.pt Benfica,1993,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f0021247
372,Marquinhos,DF,br Brazil,28,1.fr Paris S-G,1994,5,4,426,4.7,0,0,0,0,0,0,1,0,0.2,0.2,0.8,0.9,7,32,3,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.21,0.04,0.21,Matches,d5f2f82b
373,Henry Mart?n,FW,mx Mexico,29,1.mx Am?rica,1992,2,2,146,1.6,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1,0,1,6,0.62,0.00,0.62,0.62,0.62,0.57,0.13,0.70,0.57,0.70,Matches,b585c991
374,Martinelli,FW,br Brazil,20,1.eng Arsenal,2001,3,1,113,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,10,3,20,0.00,0.00,0.00,0.00,0.00,0.42,0.14,0.56,0.42,0.56,Matches,48a5a5d6
375,Carlos Mart?nez,DF,cr Costa Rica,23,1.cr AD San Carlos,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9acb9d76
376,Emiliano Mart?nez,GK,ar Argentina,29,1.eng Aston Villa,1992,7,7,690,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7956236f
377,Lautaro Mart?nez,FW,ar Argentina,24,1.it Inter,1997,6,2,241,2.7,0,0,0,0,0,0,0,0,1.9,1.9,0.0,1.9,1,0,21,0.00,0.00,0.00,0.00,0.00,0.87,0.02,0.89,0.87,0.89,Matches,f7036e1c
378,Lisandro Mart?nez,DF,ar Argentina,24,1.eng Manchester Utd,1998,5,2,303,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,3,6,2,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.25,0.04,0.25,Matches,bac46a10
379,Pape Matar Sarr,MF,sn Senegal,19,1.eng Tottenham,2002,2,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.18,0.05,0.23,0.18,0.23,Matches,feb5d972
380,R?nald Matarrita,DFMF,cr Costa Rica,27,1.us FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,491862dd
381,Eric Maxim Choupo-Moting,FWMF,cm Cameroon,33,1.de Bayern Munich,1989,3,3,253,2.8,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.9,3,13,4,0.36,0.00,0.36,0.36,0.36,0.29,0.02,0.31,0.29,0.31,Matches,0e6bc38c
382,Noussair Mazraoui,DF,ma Morocco,24,1.de Bayern Munich,1997,5,5,365,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,5,9,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches,b74277a0
383,Kylian Mbapp?,FW,fr France,23,1.fr Paris S-G,1998,7,6,598,6.6,8,2,10,6,2,2,0,0,5.2,3.6,1.3,5.0,40,25,79,1.20,0.30,1.51,0.90,1.20,0.82,0.21,1.04,0.58,0.79,Matches,42fd9c7f
384,Bryan Mbeumo,FWMF,cm Cameroon,22,1.eng Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,2,3,17,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19,Matches,6afaebf2
385,Riley McGree,FWMF,au Australia,23,2.eng Middlesbrough,1998,4,4,265,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.8,1,7,14,0.00,0.34,0.34,0.00,0.34,0.05,0.22,0.27,0.05,0.27,Matches,59d61727
386,Weston McKennie,MF,us United States,23,1.it Juventus,1998,4,4,271,3.0,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,10,19,18,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.27,0.13,0.27,Matches,01c3aff5
387,Hannibal Mejbri,MF,tn Tunisia,19,2.eng Birmingham City,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ca22ccb0
388,Memphis,FW,nl Netherlands,28,1.es Barcelona,1994,5,3,297,3.3,1,0,1,1,0,0,1,0,1.5,1.5,0.5,2.0,7,6,32,0.30,0.00,0.30,0.30,0.30,0.44,0.16,0.61,0.44,0.61,Matches,8f696594
389,Nuno Mendes,DF,pt Portugal,19,1.fr Paris S-G,2002,1,1,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,f20e4cc9
390,Jhegson M?ndez,MF,ec Ecuador,25,1.us Los Angeles FC,1997,2,2,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,db0c5324
391,Edouard Mendy,GK,sn Senegal,30,1.eng Chelsea,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,33887998
392,Nampalys Mendy,MF,sn Senegal,29,1.eng Leicester City,1992,4,3,272,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,9,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,1598599e
393,Gideon Mensah,DF,gh Ghana,23,1.fr Auxerre,1998,1,1,87,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,4,3,0.00,1.03,1.03,0.00,1.03,0.00,0.28,0.28,0.00,0.28,Matches,9bdd8118
394,Chris Mepham,DF,wls Wales,24,1.eng Bournemouth,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,fed96827
